Variable Name,Field Name,Log Types,PAN-OS Description,Mapping Type,ECS Field,ECS Type,ECS Description
dst_mac,Destination MAC Address,"Traffic,Threat,URL Filtering,Data Filtering,Decryption",The MAC address for the device that Device-ID identifies as the destination for the traffic.,=,destination.mac,keyword,Destination MAC address.
dst_model,Destination Device Model,"Traffic,Threat,URL Filtering,Data Filtering,Decryption",The model of the device that Device-ID identifies as the destination for the traffic.,,,,
dst_osfamily,Destination Device OS Family,"Traffic,Threat,URL Filtering,Data Filtering,Decryption",The operating system type for the device that Device-ID identifies as the destination for the traffic.,,,,
dst_osversion,Destination Device OS Version,"Traffic,Threat,URL Filtering,Data Filtering,Decryption",The version of the operating system for the device that Device-ID identifies as the destination for the traffic.,,,,
dst_profile,Destination Device Profile,"Traffic,Threat,URL Filtering,Data Filtering,Decryption",The device profile for the device that Device-ID identifies as the destination for the traffic.,,,,
dst_uuid,Destination VM UUID,"Traffic,Threat,URL Filtering,Data Filtering,Decryption",Identifies the destination universal unique identifier for a guest virtual machine in the VMware NSX environment.,,,,
dst_vendor,Destination Device Vendor,"Traffic,Threat,URL Filtering,Data Filtering,Decryption",The vendor of the device that Device-ID identifies as the destination for the traffic.,,,,
dynusergroup_name,Dynamic User Group Name,"Traffic,Threat,URL Filtering,Data Filtering,Tunnel Inspection",Name of the dynamic user group that contains the user who initiated the session.,=,source.user.group.name,keyword,Dynamic user group name of the source user.
eventid,Event ID,"GlobalProtect,User ID,IP Tag,System,Audit",A string showing the name of the event.,,,,
monitortag/imei,Monitor Tag/IMEI,"Traffic,Threat,URL Filtering,Data Filtering,Tunnel Inspection",International Mobile Equipment Identity (IMEI) is a unique 15 or 16 digit number allocated to each mobile station equipment.,,,,
nssai_sst,A Slice Service Type,"Traffic,Threat,URL Filtering,Data Filtering,GTP",The A Slice Service Type of the Network Slice ID.,,,,
parent_session_id,Parent Session ID,"Traffic,Threat,URL Filtering,Data Filtering,Tunnel Inspection",ID of the session in which this session is tunneled. Applies to inner tunnel (if two levels of tunneling) or inside content (if one level of tunneling) only.,,,,
parent_start_time,Parent Start Time,"Traffic,Threat,URL Filtering,Data Filtering,Tunnel Inspection",Year/month/day hours:minutes:seconds that the parent tunnel session began.,,,,
pcap_id,PCAP_ID,"Threat,URL Filtering,Data Filtering,Tunnel Inspection,GTP","The packet capture (pcap) ID is a 64 bit unsigned integral denoting an ID to correlate threat pcap files with extended pcaps taken as a part of that flow. All threat logs will contain either a pcap_id of 0 (no associated pcap), or an ID referencing the extended pcap file.",,,,
pod_name,POD Name,"Traffic,Threat,URL Filtering,Data Filtering,Decryption",The application POD being secured.,=,orchestrator.resource.name,keyword,Name of the resource being acted upon.
pod_namespace,POD Namespace,"Traffic,Threat,URL Filtering,Data Filtering,Decryption",The namespace of the application POD being secured.,=,orchestrator.namespace,keyword,Namespace in which the action is taking place.
src_dag,Source Dynamic Address Group,"Traffic,Threat,URL Filtering,Data Filtering,Decryption",Original session source dynamic address group.,,,,
src_uuid,Source VM UUID,"Traffic,Threat,URL Filtering,Data Filtering,Decryption",Identifies the source universal unique identifier for a guest virtual machine in the VMware NSX environment.,,,,
tunnel_id/imsi,Tunnel ID/IMSI,"Traffic,Threat,URL Filtering,Data Filtering,Tunnel Inspection",International Mobile Subscriber Identity (IMSI) is a unique number allocated to each mobile subscriber in the GSM/UMTS/EPS system. IMSI shall consist of decimal digits (0 through 9) only and maximum number of digits allowed are 15.,,,,
flow_type,Flow Type,"Traffic,Threat,URL Filtering,Data Filtering","Identifies the type of proxy used for traffic. If a proxy is used, Explicit Proxy or Transparent Proxy is displayed. If no proxy is used, NonProxyTraffic is displayed.",,,,
http2_connection,HTTP/2 Connection,"Traffic,Threat,URL Filtering,Data Filtering","Identifies if traffic used an HTTP/2 Connection by displaying one of the following values:

Parent session ID—HTTP/2 connection

0—SSL session",,,,
ppid,Payload Protocol ID,"Threat,URL Filtering,Data Filtering,SCTP",ID of the protocol for the payload in the data portion of the data chunk.,,,,
reason,Reason,"Threat,URL Filtering,Data Filtering,GlobalProtect",Reason for Data Filtering action.,,,,
tunneled_app,Tunneled Application,"Traffic,Threat,URL Filtering,Data Filtering",Name of the tunneled application.,,,,
user_agent,User Agent,"Threat,URL Filtering,Data Filtering,Authentication","Only for the URL Filtering subtype; all other types do not use this field.

The User Agent field specifies the web browser that the user used to access the URL, for example Internet Explorer. This information is sent in the HTTP request to the server.","=
->
->
->
->","user_agent.original
user_agent.name
user_agent.version
user_agent.os.name
user_agent.os.version","keyword
keyword
keyword
keyword
keyword","Unparsed user_agent string.
Name, version, OS name, OS version (parsed from user_agent.original).


"
xff_ip,XFF Address,"Traffic,Threat,URL Filtering,Data Filtering","The IP address of the user who requested the web page or the IP address of the next to last device that the request traversed. If the request goes through one or more proxies, load balancers, or other upstream devices, the firewall displays the IP address of the most recent device.

FM Dita Overlay for Notes Component

Based on different appliance implementations, the XFF field may contain non-IP address values.","=
=","network.forwarded_ip
related.ip","ip
ip","Host IP address when the source IP address is the proxy.
All of the IPs seen on your event."
cloud,Cloud,"Threat,URL Filtering,Data Filtering","Only for WildFire subtype; all other types do not use this field.

The cloud string displays the FQDN of either the WildFire appliance (private) or the WildFire cloud (public) from where the file was uploaded for analysis.",,,,
cloud_reportid,Cloud Report ID,"Threat,URL Filtering,Data Filtering","(PAN-OS 10.2.0) Unique 32 character ID for a file scanned by the DLP cloud service sent by a firewall.

(PAN-OS 10.2.1 and later releases) Unique 67 character ID for a file scanned by the DLP cloud service sent by a firewall.

The same Cloud Report ID is displayed for a file the DLP cloud service has already scanned and generated a Cloud Report ID for.",,,,
contenttype,Content Type,"Threat,URL Filtering,Data Filtering","Applicable only when Subtype is URL.

Content type of the HTTP response data. Maximum length 32 bytes.",=,http.response.mime_type,keyword,Content type of the HTTP response.
contentver,Content Version,"Threat,URL Filtering,Data Filtering",Applications and Threats version on your firewall when the log was generated.,,,,
direction,Direction,"Threat,URL Filtering,Data Filtering","Indicates the direction of the attack, client-to-server or server-to-client:

0—direction of the threat is client to server

1—direction of the threat is server to client",,,,
domain_edl,Domain EDL,"Threat,URL Filtering,Data Filtering",The name of the external dynamic list that contains the domain name of the traffic.,,,,
elapsed,Elapsed Time,"Traffic,Tunnel Inspection,GTP",Elapsed time of the session.,->,event.duration,long,"Session duration in nanoseconds (converted from seconds × 1,000,000,000)."
filedigest,File Digest,"Threat,URL Filtering,Data Filtering","Only for WildFire subtype; all other types do not use this field

The filedigest string shows the binary hash of the file sent to be analyzed by the WildFire service.","=
=","file.hash.sha256
related.hash","keyword
keyword","SHA256 hash of the file.
All the hashes seen on your event."
filetype,File Type,"Threat,URL Filtering,Data Filtering","Only for WildFire subtype; all other types do not use this field.

Specifies the type of file that the firewall forwarded for WildFire analysis.",=,file.type,keyword,The file type.
http_headers,HTTP Headers,"Threat,URL Filtering,Data Filtering",Indicates the inserted HTTP header in the URL log entries on the firewall.,,,,
http_method,HTTP Method,"Threat,URL Filtering,Data Filtering","Only in URL filtering logs. Describes the HTTP Method used in the web request. Only the following methods are logged: Connect, Delete, Get, Head, Options, Post, Put.",=,http.request.method,keyword,"The HTTP method (GET, POST, etc.)."
justification,Justification,"Threat,URL Filtering,Data Filtering",Justification for Data Filtering action.,,,,
misc,URL/Filename,"Threat,URL Filtering,Data Filtering","Field with variable length. A Filename has a maximum of 63 characters. A URL has a maximum of 1023 characters

The actual URI when the subtype is url

File name or file type when the subtype is file

File name when the subtype is virus

File name when the subtype is wildfire-virus

File name when the subtype is wildfire

URL or File name when the subtype is vulnerability if applicable

URL when Threat Category is domain-edl

Spoofed SNI domain when a host header mismatch is detected (identified by a unique threat ID of 86467).","->
->
->
->
->","file.name OR url.original
url.domain
url.scheme
url.path
url.query","keyword
keyword
keyword
wildcard
keyword","URL or filename depending on subtype (url→url.original; file/virus/wildfire→file.name).
Domain, scheme, path, query parsed from url.original (URL subtype only).


"
nssai_sd,A Slice Differentiator,"Traffic,Tunnel Inspection,GTP",The A Slice Differentiator of the Network Slice ID.,,,,
object,Object,"Authentication,System,Audit",Name of the object associated with the system event.,,,,
packets,Packets,"Traffic,Tunnel Inspection,SCTP",Number of total packets (transmit and receive) for the session.,=,network.packets,long,Total packets seen in the session.
partial_hash,Partial Hash,"Threat,URL Filtering,Data Filtering",Machine Learning partial hash.,,,,
pkts_received,Packets Received,"Traffic,Tunnel Inspection,SCTP",Number of server-to-client packets for the session.,=,destination.packets,long,Number of packets in server-to-client direction.
pkts_sent,Packets Sent,"Traffic,Tunnel Inspection,SCTP",Number of client-to-server packets for the session.,=,source.packets,long,Number of packets in client-to-server direction.
recipient,Recipient,"Threat,URL Filtering,Data Filtering",Specifies the name of the receiver of an email.,=,email.to.address,keyword,Email address of recipient
referer,Referer,"Threat,URL Filtering,Data Filtering","Only for the URL Filtering subtype; all other types do not use this field.

The Referer field in the HTTP header contains the URL of the web page that linked the user to another web page; it is the source that redirected (referred) the user to the web page that is being requested.",=,http.request.referrer,keyword,The Referer HTTP header value.
reportid,Report ID,"Threat,URL Filtering,Data Filtering","Only for Data Filtering and WildFire subtype; all other types do not use this field.

Identifies the analysis request on the firewall, WildFire cloud, or the WildFire appliance.",,,,
sender,Sender,"Threat,URL Filtering,Data Filtering",Specifies the name of the sender of an email.,=,email.from.address,keyword,The sender's email address.
serial #,Serial Number,"Threat,URL Filtering,Data Filtering",Serial number of the firewall that generated the log.,,,,
start,Start Time,"Traffic,Tunnel Inspection,GTP",Time of session start.,=,event.start,date,`event.start` contains the date when the event started or when the activity was first observed.
subject,Subject,"Threat,URL Filtering,Data Filtering",Specifies the subject of an email.,=,email.subject,keyword,The subject of the email message.
thr_category,Threat Category,"Threat,URL Filtering,Data Filtering","Describes threat categories used to classify different types of threat signatures.

If a domain external dynamic list generated the log, domain-edl populates this field.",,,,
threatid,Threat ID,"Threat,URL Filtering,Data Filtering","Palo Alto Networks identifier for known and custom threats. It is a description string followed by a 64-bit numerical identifier in parentheses for some Subtypes:

8000 – 8099— scan detection

8500 – 8599— flood detection

9999— URL filtering log

10000 – 19999 —spyware phone home detection

20000 – 29999 —spyware download detection

30000 – 44999 —vulnerability exploit detection

52000 – 52999— filetype detection

60000 – 69999 —data filtering detection

If the Domain EDL field is populated, then this field is populated with the same value.

FM Dita Overlay for Notes Component

Threat ID ranges for virus detection, WildFire signature feed, and DNS C2 signatures used in previous releases have been replaced with permanent, globally unique IDs. Refer to the Threat/Content Type (subtype) and Threat Category (thr_category) field names to create updated reports, filter threat logs, and ACC activity.",,,,
url_category_list,URL Category List,"Threat,URL Filtering,Data Filtering",Lists the URL filtering categories that the firewall used to enforce policy.,,,,
